date,confirmed_cases,cases_per_day,deaths,deaths_per_day
2/29/2020,1,1,1,1
3/1/2020,1,0,2,1
3/2/2020,1,0,4,2
3/3/2020,2,1,11,7
3/4/2020,7,5,13,2
3/5/2020,10,3,27,14
3/6/2020,18,8,35,8
3/7/2020,25,7,43,8
3/8/2020,47,22,61,18
3/9/2020,104,57,100,39
3/10/2020,173,69,158,58
3/11/2020,328,155,238,80
3/12/2020,683,355,346,108
3/13/2020,1302,619,498,152
3/14/2020,1944,642,673,175
3/15/2020,2979,1035,882,209
3/16/2020,5100,2121,1229,347
3/17/2020,7552,2452,1614,385
3/18/2020,10523,2971,2111,497
3/19/2020,14230,3707,2746,635
3/20/2020,18237,4007,3494,748
3/21/2020,20874,2637,4233,739
3/22/2020,23453,2579,5005,772
3/23/2020,27023,3570,6152,1147
3/24/2020,31523,4500,7467,1315
3/25/2020,36397,4874,8878,1411
3/26/2020,41443,5046,10421,1543
3/27/2020,46559,5116,11990,1569
3/28/2020,50039,3480,13381,1391
3/29/2020,53601,3562,14884,1503
3/30/2020,59731,6130,16737,1853
3/31/2020,65189,5458,18540,1803
4/1/2020,70637,5448,20287,1747
4/2/2020,76384,5747,21964,1677
4/3/2020,82053,5669,23676,1712
4/4/2020,85917,3864,25135,1459
4/5/2020,89698,3781,26539,1404
4/6/2020,96052,6354,28282,1743
4/7/2020,102094,6042,29864,1582
4/8/2020,107673,5579,31434,1570
4/9/2020,112744,5071,32787,1353
4/10/2020,117254,4510,34077,1290
4/11/2020,120986,3732,35116,1039
4/12/2020,123873,2887,36073,957
4/13/2020,127185,3312,37231,1158
4/14/2020,131327,4142,38218,987
4/15/2020,135203,3876,39087,869
4/16/2020,138733,3530,39870,783
4/17/2020,142317,3584,40664,794
4/18/2020,144489,2172,41253,589
4/19/2020,146835,2346,41791,538
4/20/2020,150627,3792,42424,633
4/21/2020,153690,3063,43014,590
4/22/2020,157137,3447,43533,519
4/23/2020,159978,2841,43978,445
4/24/2020,162513,2535,44441,463
4/25/2020,164108,1595,44767,326
4/26/2020,165111,1003,45086,319
4/27/2020,167399,2288,45456,370
4/28/2020,170127,2728,45810,354
4/29/2020,172467,2340,46120,310
4/30/2020,174489,2022,46376,256
5/1/2020,176376,1887,46644,268
5/2/2020,177434,1058,46851,207
5/3/2020,178220,786,47066,215
5/4/2020,179770,1550,47305,239
5/5/2020,181281,1511,47519,214
5/6/2020,182679,1398,47735,216
5/7/2020,183916,1237,47910,175
5/8/2020,184998,1082,48083,173
5/9/2020,185655,657,48206,123
5/10/2020,186112,457,48308,102
5/11/2020,187343,1231,48494,186
5/12/2020,188628,1285,48609,115
5/13/2020,189963,1335,48737,128
5/14/2020,191074,1111,48884,147
5/15/2020,191947,873,49012,128
5/16/2020,192432,485,49105,93
5/17/2020,192791,359,49187,82
5/18/2020,193686,895,49301,114
5/19/2020,194689,1003,49418,117
5/20/2020,195765,1076,49498,80
5/21/2020,196834,1069,49583,85
5/22/2020,197872,1038,49685,102
5/23/2020,198328,456,49758,73
5/24/2020,198794,466,49847,89
5/25/2020,199259,465,49924,77
5/26/2020,200312,1053,50000,76
5/27/2020,201056,744,50079,79
5/28/2020,201702,646,50161,82
5/29/2020,202344,642,50246,85
5/30/2020,202692,348,50301,55
5/31/2020,202922,230,50361,60
6/1/2020,203608,686,50446,85
6/2/2020,204180,572,50509,63
6/3/2020,204694,514,50584,75
6/4/2020,205217,523,50660,76
6/5/2020,205620,403,50717,57
6/6/2020,205867,247,50754,37
6/7/2020,206064,197,50807,53
6/8/2020,206514,450,50869,62
6/9/2020,206935,421,50934,65
6/10/2020,207300,365,50998,64
6/11/2020,207665,365,51050,52
6/12/2020,208075,410,51106,56
6/13/2020,208272,197,51140,34
6/14/2020,208452,180,51185,45
6/15/2020,208833,381,51240,55
6/16/2020,209253,420,51304,64
6/17/2020,209609,356,51355,51
6/18/2020,209987,378,51413,58
6/19/2020,210349,362,51457,44
6/20/2020,210552,203,51484,27
6/21/2020,210724,172,51528,44
6/22/2020,211125,401,51580,52
6/23/2020,211507,382,51624,44
6/24/2020,211888,381,51678,54
6/25/2020,212187,299,51722,44
6/26/2020,212503,316,51755,33
6/27/2020,212709,206,51798,43
6/28/2020,212911,202,51830,32
6/29/2020,213348,437,51880,50
6/30/2020,213789,441,51926,46
7/1/2020,214186,397,51964,38
7/2/2020,214602,416,52009,45
7/3/2020,214837,235,52039,30
7/4/2020,214957,120,52070,31
7/5/2020,215111,154,52097,27
7/6/2020,215543,432,52153,56
7/7/2020,216003,460,52201,48
7/8/2020,216440,437,52235,34
7/9/2020,216832,392,52280,45
7/10/2020,217139,307,52325,45
7/11/2020,217398,259,52358,33
7/12/2020,217622,224,52385,27
7/13/2020,218105,483,52436,51
7/14/2020,218508,403,52480,44
7/15/2020,218947,439,52524,44
7/16/2020,219363,416,52559,35
7/17/2020,219780,417,52610,51
7/18/2020,219996,216,52636,26
7/19/2020,220171,175,52674,38
7/20/2020,220573,402,52712,38
7/21/2020,220914,341,52738,26
7/22/2020,221244,330,52777,39
7/23/2020,221552,308,52809,32
7/24/2020,221852,300,52850,41
7/25/2020,222005,153,52886,36
7/26/2020,222145,140,52911,25
7/27/2020,222459,314,52950,39
7/28/2020,222772,313,52988,38
7/29/2020,223061,289,53017,29
7/30/2020,223334,273,53056,39
7/31/2020,223596,262,53090,34
8/1/2020,223785,189,53117,27
8/2/2020,223922,137,53149,32
8/3/2020,224270,348,53188,39
8/4/2020,224457,187,53222,34
8/5/2020,224755,298,53260,38
